island,site,date,observer,row,col,trt,spp,ht,numleaves,leafnum,wilt,damclass,primdam,secdam,notes,entby,proofby,dateent
tinian,pina,13-Sep-10,SF,4,h,open,Morinda,16.4,8,2,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,4,h,open,Morinda,16.4,8,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,4,h,open,Morinda,16.4,8,4,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,4,h,open,Morinda,16.4,8,5,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,4,h,open,Morinda,16.4,8,6,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,4,h,open,Morinda,16.4,8,7,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,4,h,open,Morinda,16.4,8,8,,0,na,na,,SF,,
guam,anaoarray,2-Jul-10,BE,3,c,excl,Morinda,19.7,10,1,no,50-75,dis,na,,TL,,
tinian,pina,13-Sep-10,SF,3,a,excl,Morinda,15.7,9,2,,<2,def,na,,SF,,
tinian,pina,13-Sep-10,SF,3,a,excl,Morinda,15.7,9,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,3,a,excl,Morinda,15.7,9,4,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,3,a,excl,Morinda,15.7,9,5,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,3,a,excl,Morinda,15.7,9,6,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,3,a,excl,Morinda,15.7,9,7,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,3,a,excl,Morinda,15.7,9,8,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,3,a,excl,Morinda,15.7,9,9,,25-Oct,r,na,,SF,,
guam,ANAOarray,10-Jun-10,EH,3,D,open,Papaya,23.7,5,1,no,<2,Def,NA,,S. Perez,,
tinian,pina,13-Sep-10,SF,5,a,excl,Morinda,16.3,7,2,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,5,a,excl,Morinda,16.3,7,3,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,5,a,excl,Morinda,16.3,7,4,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,5,a,excl,Morinda,16.3,7,5,,0,na,na,,SF,,
